ref_techant;ref_obj;technique;ouvrage;champ;libelle_1;libelle_2;unite;frequence;type
5635;4268;ELE DISTR;POSTE ETANG;G14 CHAMP BARBY;MESURE;P REACTIVE;MVAr;15 MINUTES;Valeur moyenne
5636;4268;ELE DISTR;POSTE ETANG;G14 CHAMP BARBY;MESURE;P REACTIVE;MVAr;15 MINUTES;Valeur minimum
5637;4268;ELE DISTR;POSTE ETANG;G14 CHAMP BARBY;MESURE;P REACTIVE;MVAr;15 MINUTES;Valeur maximum
5634;4268;ELE DISTR;POSTE ETANG;G14 CHAMP BARBY;MESURE;P REACTIVE;MVAr;1 MINUTE;Valeur moyenne
28594;31633;ELE DISTR;POSTE ETANG;F06 TRANSFO T03;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur minimum
28592;31633;ELE DISTR;POSTE ETANG;F06 TRANSFO T03;MESURE;P APPARENTE;MVA;1 MINUTE;Valeur moyenne
28593;31633;ELE DISTR;POSTE ETANG;F06 TRANSFO T03;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur moyenne
28595;31633;ELE DISTR;POSTE ETANG;F06 TRANSFO T03;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur maximum
48445;34522;ELE DISTR;POSTE ETANG;PUISSANCES;PUISSANCE;DISTRIBUEE;MW;15 MINUTES;Valeur moyenne
18771;162424;ELE DISTR;POSTE ETANG;PUISSANCES;PUISSANCE SOUTIREE;EN POURCENT;%;1 MINUTE;Valeur moyenne
18772;162424;ELE DISTR;POSTE ETANG;PUISSANCES;PUISSANCE SOUTIREE;EN POURCENT;%;15 MINUTES;Valeur moyenne
18773;162424;ELE DISTR;POSTE ETANG;PUISSANCES;PUISSANCE SOUTIREE;EN POURCENT;%;15 MINUTES;Valeur minimum
18774;162424;ELE DISTR;POSTE ETANG;PUISSANCES;PUISSANCE SOUTIREE;EN POURCENT;%;15 MINUTES;Valeur maximum
48444;34522;ELE DISTR;POSTE ETANG;PUISSANCES;PUISSANCE;DISTRIBUEE;MW;1 MINUTE;Valeur moyenne
14146;4327;ELE DISTR;POSTE ETANG;H18 TELECOMMANDE;MESURE;TENSION L2_3;kV;1 MINUTE;Valeur moyenne
14154;4327;ELE DISTR;POSTE ETANG;H18 TELECOMMANDE;MESURE;TENSION L2_3;kV;1 JOUR ;Valeur minimum
48446;34522;ELE DISTR;POSTE ETANG;PUISSANCES;PUISSANCE;DISTRIBUEE;MW;15 MINUTES;Valeur minimum
48447;34522;ELE DISTR;POSTE ETANG;PUISSANCES;PUISSANCE;DISTRIBUEE;MW;15 MINUTES;Valeur maximum
46355;28822;ELE DISTR;POSTE ETANG;PUISSANCES;PUISSANCE;APPARENTE TOTALE;MVA;15 MINUTES;Valeur moyenne
46354;28822;ELE DISTR;POSTE ETANG;PUISSANCES;PUISSANCE;APPARENTE TOTALE;MVA;1 MINUTE;Valeur moyenne
41075;29447;ELE DISTR;POSTE ETANG;PUISSANCES;PUISSANCE;REACTIVE TOTALE;MVAr;15 MINUTES;Valeur maximum
28508;14986;ELE DISTR;POSTE ETANG;E07 CHAMP BARBY 1;MESURE;P APPARENTE;MVA;1 MINUTE;Valeur moyenne
41056;29445;ELE DISTR;POSTE ETANG;PUISSANCES;PUISSANCE;ACTIVE TOTALE;MW;1 MINUTE;Valeur moyenne
41058;29445;ELE DISTR;POSTE ETANG;PUISSANCES;PUISSANCE;ACTIVE TOTALE;MW;15 MINUTES;Valeur minimum
41059;29445;ELE DISTR;POSTE ETANG;PUISSANCES;PUISSANCE;ACTIVE TOTALE;MW;15 MINUTES;Valeur maximum
46356;28822;ELE DISTR;POSTE ETANG;PUISSANCES;PUISSANCE;APPARENTE TOTALE;MVA;15 MINUTES;Valeur minimum
46357;28822;ELE DISTR;POSTE ETANG;PUISSANCES;PUISSANCE;APPARENTE TOTALE;MVA;15 MINUTES;Valeur maximum
22867;4635;ELE DISTR;POSTE ETANG;F06 TRANSFO T03;MESURE;P REACTIVE;MVAr;15 MINUTES;Valeur moyenne
22868;4635;ELE DISTR;POSTE ETANG;F06 TRANSFO T03;MESURE;P REACTIVE;MVAr;15 MINUTES;Valeur minimum
22869;4635;ELE DISTR;POSTE ETANG;F06 TRANSFO T03;MESURE;P REACTIVE;MVAr;15 MINUTES;Valeur maximum
28541;14990;ELE DISTR;POSTE ETANG;E09 RESERVE;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur moyenne
28542;14990;ELE DISTR;POSTE ETANG;E09 RESERVE;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur minimum
28543;14990;ELE DISTR;POSTE ETANG;E09 RESERVE;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur maximum
28540;14990;ELE DISTR;POSTE ETANG;E09 RESERVE;MESURE;P APPARENTE;MVA;1 MINUTE;Valeur moyenne
22866;4635;ELE DISTR;POSTE ETANG;F06 TRANSFO T03;MESURE;P REACTIVE;MVAr;1 MINUTE;Valeur moyenne
9154;4296;ELE DISTR;POSTE ETANG;G16 BATTENTIN 25E;MESURE;TENSION L2_3;kV;1 MINUTE;Valeur moyenne
9161;4296;ELE DISTR;POSTE ETANG;G16 BATTENTIN 25E;MESURE;TENSION L2_3;kV;1 JOUR ;Valeur moyenne
28509;14986;ELE DISTR;POSTE ETANG;E07 CHAMP BARBY 1;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur moyenne
14155;4327;ELE DISTR;POSTE ETANG;H18 TELECOMMANDE;MESURE;TENSION L2_3;kV;1 JOUR ;Valeur maximum
23058;6183;ELE DISTR;POSTE ETANG;I23 CHAMP BARBY 2;MESURE;P REACTIVE;MVAr;1 MINUTE;Valeur moyenne
23059;6183;ELE DISTR;POSTE ETANG;I23 CHAMP BARBY 2;MESURE;P REACTIVE;MVAr;15 MINUTES;Valeur moyenne
28511;14986;ELE DISTR;POSTE ETANG;E07 CHAMP BARBY 1;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur maximum
28510;14986;ELE DISTR;POSTE ETANG;E07 CHAMP BARBY 1;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur minimum
41057;29445;ELE DISTR;POSTE ETANG;PUISSANCES;PUISSANCE;ACTIVE TOTALE;MW;15 MINUTES;Valeur moyenne
14153;4327;ELE DISTR;POSTE ETANG;H18 TELECOMMANDE;MESURE;TENSION L2_3;kV;1 JOUR ;Valeur moyenne
21381;4425;ELE DISTR;POSTE ETANG;I24 PETIT PALUD;MESURE;P REACTIVE;MVAr;15 MINUTES;Valeur maximum
21380;4425;ELE DISTR;POSTE ETANG;I24 PETIT PALUD;MESURE;P REACTIVE;MVAr;15 MINUTES;Valeur minimum
21379;4425;ELE DISTR;POSTE ETANG;I24 PETIT PALUD;MESURE;P REACTIVE;MVAr;15 MINUTES;Valeur moyenne
21378;4425;ELE DISTR;POSTE ETANG;I24 PETIT PALUD;MESURE;P REACTIVE;MVAr;1 MINUTE;Valeur moyenne
12011;4578;ELE DISTR;POSTE ETANG;E08 CARO 46E;MESURE;TENSION L2_3;kV;1 JOUR ;Valeur maximum
12010;4578;ELE DISTR;POSTE ETANG;E08 CARO 46E;MESURE;TENSION L2_3;kV;1 JOUR ;Valeur minimum
12002;4578;ELE DISTR;POSTE ETANG;E08 CARO 46E;MESURE;TENSION L2_3;kV;1 MINUTE;Valeur moyenne
12009;4578;ELE DISTR;POSTE ETANG;E08 CARO 46E;MESURE;TENSION L2_3;kV;1 JOUR ;Valeur moyenne
23061;6183;ELE DISTR;POSTE ETANG;I23 CHAMP BARBY 2;MESURE;P REACTIVE;MVAr;15 MINUTES;Valeur maximum
23060;6183;ELE DISTR;POSTE ETANG;I23 CHAMP BARBY 2;MESURE;P REACTIVE;MVAr;15 MINUTES;Valeur minimum
41073;29447;ELE DISTR;POSTE ETANG;PUISSANCES;PUISSANCE;REACTIVE TOTALE;MVAr;15 MINUTES;Valeur moyenne
41072;29447;ELE DISTR;POSTE ETANG;PUISSANCES;PUISSANCE;REACTIVE TOTALE;MVAr;1 MINUTE;Valeur moyenne
9162;4296;ELE DISTR;POSTE ETANG;G16 BATTENTIN 25E;MESURE;TENSION L2_3;kV;1 JOUR ;Valeur minimum
41074;29447;ELE DISTR;POSTE ETANG;PUISSANCES;PUISSANCE;REACTIVE TOTALE;MVAr;15 MINUTES;Valeur minimum
9163;4296;ELE DISTR;POSTE ETANG;G16 BATTENTIN 25E;MESURE;TENSION L2_3;kV;1 JOUR ;Valeur maximum
28724;31664;ELE DISTR;POSTE ETANG;G16 BATTENTIN 25E;MESURE;P APPARENTE;MVA;1 MINUTE;Valeur moyenne
28679;31658;ELE DISTR;POSTE ETANG;G13 ARTISANS;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur maximum
28678;31658;ELE DISTR;POSTE ETANG;G13 ARTISANS;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur minimum
28676;31658;ELE DISTR;POSTE ETANG;G13 ARTISANS;MESURE;P APPARENTE;MVA;1 MINUTE;Valeur moyenne
28677;31658;ELE DISTR;POSTE ETANG;G13 ARTISANS;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur moyenne
28692;31660;ELE DISTR;POSTE ETANG;G14 CHAMP BARBY;MESURE;P APPARENTE;MVA;1 MINUTE;Valeur moyenne
28661;31656;ELE DISTR;POSTE ETANG;G12 VILLAGE;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur moyenne
28662;31656;ELE DISTR;POSTE ETANG;G12 VILLAGE;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur minimum
28663;31656;ELE DISTR;POSTE ETANG;G12 VILLAGE;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur maximum
28660;31656;ELE DISTR;POSTE ETANG;G12 VILLAGE;MESURE;P APPARENTE;MVA;1 MINUTE;Valeur moyenne
28557;31626;ELE DISTR;POSTE ETANG;E10 COUPLAGE;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur moyenne
28558;31626;ELE DISTR;POSTE ETANG;E10 COUPLAGE;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur minimum
28559;31626;ELE DISTR;POSTE ETANG;E10 COUPLAGE;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur maximum
28556;31626;ELE DISTR;POSTE ETANG;E10 COUPLAGE;MESURE;P APPARENTE;MVA;1 MINUTE;Valeur moyenne
28695;31660;ELE DISTR;POSTE ETANG;G14 CHAMP BARBY;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur maximum
28694;31660;ELE DISTR;POSTE ETANG;G14 CHAMP BARBY;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur minimum
28693;31660;ELE DISTR;POSTE ETANG;G14 CHAMP BARBY;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur moyenne
28725;31664;ELE DISTR;POSTE ETANG;G16 BATTENTIN 25E;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur moyenne
28726;31664;ELE DISTR;POSTE ETANG;G16 BATTENTIN 25E;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur minimum
28727;31664;ELE DISTR;POSTE ETANG;G16 BATTENTIN 25E;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur maximum
1275;4375;ELE DISTR;POSTE ETANG;I21 TRANSFO T03;MESURE;TENSION L3_1;kV;1 JOUR ;Valeur maximum
1274;4375;ELE DISTR;POSTE ETANG;I21 TRANSFO T03;MESURE;TENSION L3_1;kV;1 JOUR ;Valeur minimum
1266;4375;ELE DISTR;POSTE ETANG;I21 TRANSFO T03;MESURE;TENSION L3_1;kV;1 MINUTE;Valeur moyenne
5659;4632;ELE DISTR;POSTE ETANG;F06 TRANSFO T03;MESURE;TENSION L2_3;kV;1 JOUR ;Valeur maximum
5657;4632;ELE DISTR;POSTE ETANG;F06 TRANSFO T03;MESURE;TENSION L2_3;kV;1 JOUR ;Valeur moyenne
5650;4632;ELE DISTR;POSTE ETANG;F06 TRANSFO T03;MESURE;TENSION L2_3;kV;1 MINUTE;Valeur moyenne
5658;4632;ELE DISTR;POSTE ETANG;F06 TRANSFO T03;MESURE;TENSION L2_3;kV;1 JOUR ;Valeur minimum
20772;4467;ELE DISTR;POSTE ETANG;D01 RESERVE;MESURE;COURANT L1;A;15 MINUTES;Valeur minimum
20773;4467;ELE DISTR;POSTE ETANG;D01 RESERVE;MESURE;COURANT L1;A;15 MINUTES;Valeur maximum
35391;6772;ELE DISTR;POSTE ETANG;HI20 COUPLAGE;MESURE;COURANT L1;A;15 MINUTES;Valeur maximum
35390;6772;ELE DISTR;POSTE ETANG;HI20 COUPLAGE;MESURE;COURANT L1;A;15 MINUTES;Valeur minimum
35389;6772;ELE DISTR;POSTE ETANG;HI20 COUPLAGE;MESURE;COURANT L1;A;15 MINUTES;Valeur moyenne
35388;6772;ELE DISTR;POSTE ETANG;HI20 COUPLAGE;MESURE;COURANT L1;A;1 MINUTE;Valeur moyenne
12674;4372;ELE DISTR;POSTE ETANG;I21 TRANSFO T03;MESURE;COURANT L1;A;1 MINUTE;Valeur moyenne
12675;4372;ELE DISTR;POSTE ETANG;I21 TRANSFO T03;MESURE;COURANT L1;A;15 MINUTES;Valeur moyenne
9555;4531;ELE DISTR;POSTE ETANG;E05 TRANSFO T04;MESURE;P ACTIVE;MW;15 MINUTES;Valeur moyenne
9556;4531;ELE DISTR;POSTE ETANG;E05 TRANSFO T04;MESURE;P ACTIVE;MW;15 MINUTES;Valeur minimum
2754;4470;ELE DISTR;POSTE ETANG;D01 RESERVE;MESURE;P REACTIVE;MVAr;1 MINUTE;Valeur moyenne
2755;4470;ELE DISTR;POSTE ETANG;D01 RESERVE;MESURE;P REACTIVE;MVAr;15 MINUTES;Valeur moyenne
2756;4470;ELE DISTR;POSTE ETANG;D01 RESERVE;MESURE;P REACTIVE;MVAr;15 MINUTES;Valeur minimum
2757;4470;ELE DISTR;POSTE ETANG;D01 RESERVE;MESURE;P REACTIVE;MVAr;15 MINUTES;Valeur maximum
20770;4467;ELE DISTR;POSTE ETANG;D01 RESERVE;MESURE;COURANT L1;A;1 MINUTE;Valeur moyenne
17651;4440;ELE DISTR;POSTE ETANG;I25 ROULEMAZ;MESURE;P REACTIVE;MVAr;15 MINUTES;Valeur moyenne
17652;4440;ELE DISTR;POSTE ETANG;I25 ROULEMAZ;MESURE;P REACTIVE;MVAr;15 MINUTES;Valeur minimum
17653;4440;ELE DISTR;POSTE ETANG;I25 ROULEMAZ;MESURE;P REACTIVE;MVAr;15 MINUTES;Valeur maximum
17650;4440;ELE DISTR;POSTE ETANG;I25 ROULEMAZ;MESURE;P REACTIVE;MVAr;1 MINUTE;Valeur moyenne
10041;4438;ELE DISTR;POSTE ETANG;I25 ROULEMAZ;MESURE;TENSION L2_3;kV;1 JOUR ;Valeur moyenne
10034;4438;ELE DISTR;POSTE ETANG;I25 ROULEMAZ;MESURE;TENSION L2_3;kV;1 MINUTE;Valeur moyenne
10042;4438;ELE DISTR;POSTE ETANG;I25 ROULEMAZ;MESURE;TENSION L2_3;kV;1 JOUR ;Valeur minimum
10043;4438;ELE DISTR;POSTE ETANG;I25 ROULEMAZ;MESURE;TENSION L2_3;kV;1 JOUR ;Valeur maximum
11923;4437;ELE DISTR;POSTE ETANG;I25 ROULEMAZ;MESURE;COURANT L1;A;15 MINUTES;Valeur moyenne
11924;4437;ELE DISTR;POSTE ETANG;I25 ROULEMAZ;MESURE;COURANT L1;A;15 MINUTES;Valeur minimum
11925;4437;ELE DISTR;POSTE ETANG;I25 ROULEMAZ;MESURE;COURANT L1;A;15 MINUTES;Valeur maximum
11922;4437;ELE DISTR;POSTE ETANG;I25 ROULEMAZ;MESURE;COURANT L1;A;1 MINUTE;Valeur moyenne
9557;4531;ELE DISTR;POSTE ETANG;E05 TRANSFO T04;MESURE;P ACTIVE;MW;15 MINUTES;Valeur maximum
21707;4593;ELE DISTR;POSTE ETANG;E09 RESERVE;MESURE;TENSION L2_3;kV;1 JOUR ;Valeur maximum
5251;4392;ELE DISTR;POSTE ETANG;I22 ETANG 25E;MESURE;COURANT L1;A;15 MINUTES;Valeur moyenne
5252;4392;ELE DISTR;POSTE ETANG;I22 ETANG 25E;MESURE;COURANT L1;A;15 MINUTES;Valeur minimum
5250;4392;ELE DISTR;POSTE ETANG;I22 ETANG 25E;MESURE;COURANT L1;A;1 MINUTE;Valeur moyenne
5253;4392;ELE DISTR;POSTE ETANG;I22 ETANG 25E;MESURE;COURANT L1;A;15 MINUTES;Valeur maximum
21961;4374;ELE DISTR;POSTE ETANG;I21 TRANSFO T03;MESURE;TENSION L2_3;kV;1 JOUR ;Valeur moyenne
21954;4374;ELE DISTR;POSTE ETANG;I21 TRANSFO T03;MESURE;TENSION L2_3;kV;1 MINUTE;Valeur moyenne
21962;4374;ELE DISTR;POSTE ETANG;I21 TRANSFO T03;MESURE;TENSION L2_3;kV;1 JOUR ;Valeur minimum
21963;4374;ELE DISTR;POSTE ETANG;I21 TRANSFO T03;MESURE;TENSION L2_3;kV;1 JOUR ;Valeur maximum
21698;4593;ELE DISTR;POSTE ETANG;E09 RESERVE;MESURE;TENSION L2_3;kV;1 MINUTE;Valeur moyenne
21706;4593;ELE DISTR;POSTE ETANG;E09 RESERVE;MESURE;TENSION L2_3;kV;1 JOUR ;Valeur minimum
21705;4593;ELE DISTR;POSTE ETANG;E09 RESERVE;MESURE;TENSION L2_3;kV;1 JOUR ;Valeur moyenne
4131;4329;ELE DISTR;POSTE ETANG;H18 TELECOMMANDE;MESURE;P REACTIVE;kVAR;15 MINUTES;Valeur moyenne
1273;4375;ELE DISTR;POSTE ETANG;I21 TRANSFO T03;MESURE;TENSION L3_1;kV;1 JOUR ;Valeur moyenne
8978;4455;ELE DISTR;POSTE ETANG;I26 RESERVE;MESURE;P REACTIVE;MVAr;1 MINUTE;Valeur moyenne
8981;4455;ELE DISTR;POSTE ETANG;I26 RESERVE;MESURE;P REACTIVE;MVAr;15 MINUTES;Valeur maximum
8980;4455;ELE DISTR;POSTE ETANG;I26 RESERVE;MESURE;P REACTIVE;MVAr;15 MINUTES;Valeur minimum
8979;4455;ELE DISTR;POSTE ETANG;I26 RESERVE;MESURE;P REACTIVE;MVAr;15 MINUTES;Valeur moyenne
3058;4528;ELE DISTR;POSTE ETANG;E05 TRANSFO T04;MESURE;TENSION L1_2;kV;1 MINUTE;Valeur moyenne
3067;4528;ELE DISTR;POSTE ETANG;E05 TRANSFO T04;MESURE;TENSION L1_2;kV;1 JOUR ;Valeur maximum
3066;4528;ELE DISTR;POSTE ETANG;E05 TRANSFO T04;MESURE;TENSION L1_2;kV;1 JOUR ;Valeur minimum
3065;4528;ELE DISTR;POSTE ETANG;E05 TRANSFO T04;MESURE;TENSION L1_2;kV;1 JOUR ;Valeur moyenne
19298;4547;ELE DISTR;POSTE ETANG;E06 RESERVE;MESURE;COURANT L1;A;1 MINUTE;Valeur moyenne
19301;4547;ELE DISTR;POSTE ETANG;E06 RESERVE;MESURE;COURANT L1;A;15 MINUTES;Valeur maximum
4130;4329;ELE DISTR;POSTE ETANG;H18 TELECOMMANDE;MESURE;P REACTIVE;kVAR;1 MINUTE;Valeur moyenne
4132;4329;ELE DISTR;POSTE ETANG;H18 TELECOMMANDE;MESURE;P REACTIVE;kVAR;15 MINUTES;Valeur minimum
4133;4329;ELE DISTR;POSTE ETANG;H18 TELECOMMANDE;MESURE;P REACTIVE;kVAR;15 MINUTES;Valeur maximum
19300;4547;ELE DISTR;POSTE ETANG;E06 RESERVE;MESURE;COURANT L1;A;15 MINUTES;Valeur minimum
1155;4312;ELE DISTR;POSTE ETANG;GH17 COUPLAGE;MESURE;P ACTIVE;MW;15 MINUTES;Valeur moyenne
23289;4631;ELE DISTR;POSTE ETANG;F06 TRANSFO T03;MESURE;TENSION L1_2;kV;1 JOUR ;Valeur moyenne
23282;4631;ELE DISTR;POSTE ETANG;F06 TRANSFO T03;MESURE;TENSION L1_2;kV;1 MINUTE;Valeur moyenne
23290;4631;ELE DISTR;POSTE ETANG;F06 TRANSFO T03;MESURE;TENSION L1_2;kV;1 JOUR ;Valeur minimum
23291;4631;ELE DISTR;POSTE ETANG;F06 TRANSFO T03;MESURE;TENSION L1_2;kV;1 JOUR ;Valeur maximum
1156;4312;ELE DISTR;POSTE ETANG;GH17 COUPLAGE;MESURE;P ACTIVE;MW;15 MINUTES;Valeur minimum
15252;4377;ELE DISTR;POSTE ETANG;I21 TRANSFO T03;MESURE;P REACTIVE;MVAr;15 MINUTES;Valeur minimum
1157;4312;ELE DISTR;POSTE ETANG;GH17 COUPLAGE;MESURE;P ACTIVE;MW;15 MINUTES;Valeur maximum
1154;4312;ELE DISTR;POSTE ETANG;GH17 COUPLAGE;MESURE;P ACTIVE;MW;1 MINUTE;Valeur moyenne
14467;4265;ELE DISTR;POSTE ETANG;G14 CHAMP BARBY;MESURE;COURANT L1;A;15 MINUTES;Valeur moyenne
14468;4265;ELE DISTR;POSTE ETANG;G14 CHAMP BARBY;MESURE;COURANT L1;A;15 MINUTES;Valeur minimum
14469;4265;ELE DISTR;POSTE ETANG;G14 CHAMP BARBY;MESURE;COURANT L1;A;15 MINUTES;Valeur maximum
14466;4265;ELE DISTR;POSTE ETANG;G14 CHAMP BARBY;MESURE;COURANT L1;A;1 MINUTE;Valeur moyenne
19299;4547;ELE DISTR;POSTE ETANG;E06 RESERVE;MESURE;COURANT L1;A;15 MINUTES;Valeur moyenne
28447;14979;ELE DISTR;POSTE ETANG;D02 CELTES-STADE;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur maximum
28446;14979;ELE DISTR;POSTE ETANG;D02 CELTES-STADE;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur minimum
28444;14979;ELE DISTR;POSTE ETANG;D02 CELTES-STADE;MESURE;P APPARENTE;MVA;1 MINUTE;Valeur moyenne
15251;4377;ELE DISTR;POSTE ETANG;I21 TRANSFO T03;MESURE;P REACTIVE;MVAr;15 MINUTES;Valeur moyenne
21621;4609;ELE DISTR;POSTE ETANG;E10 COUPLAGE;MESURE;P ACTIVE;MW;15 MINUTES;Valeur maximum
21620;4609;ELE DISTR;POSTE ETANG;E10 COUPLAGE;MESURE;P ACTIVE;MW;15 MINUTES;Valeur minimum
21618;4609;ELE DISTR;POSTE ETANG;E10 COUPLAGE;MESURE;P ACTIVE;MW;1 MINUTE;Valeur moyenne
21619;4609;ELE DISTR;POSTE ETANG;E10 COUPLAGE;MESURE;P ACTIVE;MW;15 MINUTES;Valeur moyenne
8474;4266;ELE DISTR;POSTE ETANG;G14 CHAMP BARBY;MESURE;TENSION L2_3;kV;1 JOUR ;Valeur minimum
8466;4266;ELE DISTR;POSTE ETANG;G14 CHAMP BARBY;MESURE;TENSION L2_3;kV;1 MINUTE;Valeur moyenne
35436;6775;ELE DISTR;POSTE ETANG;HI20 COUPLAGE;MESURE;P APPARENTE;MVA;1 MINUTE;Valeur moyenne
28445;14979;ELE DISTR;POSTE ETANG;D02 CELTES-STADE;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur moyenne
16802;4376;ELE DISTR;POSTE ETANG;I21 TRANSFO T03;MESURE;P ACTIVE;MW;1 MINUTE;Valeur moyenne
16804;4376;ELE DISTR;POSTE ETANG;I21 TRANSFO T03;MESURE;P ACTIVE;MW;15 MINUTES;Valeur minimum
16805;4376;ELE DISTR;POSTE ETANG;I21 TRANSFO T03;MESURE;P ACTIVE;MW;15 MINUTES;Valeur maximum
16803;4376;ELE DISTR;POSTE ETANG;I21 TRANSFO T03;MESURE;P ACTIVE;MW;15 MINUTES;Valeur moyenne
28313;7077;ELE DISTR;POSTE ETANG;D01 RESERVE;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur moyenne
28312;7077;ELE DISTR;POSTE ETANG;D01 RESERVE;MESURE;P APPARENTE;MVA;1 MINUTE;Valeur moyenne
28314;7077;ELE DISTR;POSTE ETANG;D01 RESERVE;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur minimum
28524;14988;ELE DISTR;POSTE ETANG;E08 CARO 46E;MESURE;P APPARENTE;MVA;1 MINUTE;Valeur moyenne
28527;14988;ELE DISTR;POSTE ETANG;E08 CARO 46E;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur maximum
28526;14988;ELE DISTR;POSTE ETANG;E08 CARO 46E;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur minimum
28525;14988;ELE DISTR;POSTE ETANG;E08 CARO 46E;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur moyenne
28315;7077;ELE DISTR;POSTE ETANG;D01 RESERVE;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur maximum
8306;4529;ELE DISTR;POSTE ETANG;E05 TRANSFO T04;MESURE;TENSION L2_3;kV;1 MINUTE;Valeur moyenne
8314;4529;ELE DISTR;POSTE ETANG;E05 TRANSFO T04;MESURE;TENSION L2_3;kV;1 JOUR ;Valeur minimum
8315;4529;ELE DISTR;POSTE ETANG;E05 TRANSFO T04;MESURE;TENSION L2_3;kV;1 JOUR ;Valeur maximum
8313;4529;ELE DISTR;POSTE ETANG;E05 TRANSFO T04;MESURE;TENSION L2_3;kV;1 JOUR ;Valeur moyenne
1940;4237;ELE DISTR;POSTE ETANG;G12 VILLAGE;MESURE;P ACTIVE;MW;15 MINUTES;Valeur minimum
1938;4237;ELE DISTR;POSTE ETANG;G12 VILLAGE;MESURE;P ACTIVE;MW;1 MINUTE;Valeur moyenne
1941;4237;ELE DISTR;POSTE ETANG;G12 VILLAGE;MESURE;P ACTIVE;MW;15 MINUTES;Valeur maximum
1939;4237;ELE DISTR;POSTE ETANG;G12 VILLAGE;MESURE;P ACTIVE;MW;15 MINUTES;Valeur moyenne
21851;4311;ELE DISTR;POSTE ETANG;GH17 COUPLAGE;MESURE;TENSION L2_3;kV;1 JOUR ;Valeur maximum
21850;4311;ELE DISTR;POSTE ETANG;GH17 COUPLAGE;MESURE;TENSION L2_3;kV;1 JOUR ;Valeur minimum
35439;6775;ELE DISTR;POSTE ETANG;HI20 COUPLAGE;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur maximum
35438;6775;ELE DISTR;POSTE ETANG;HI20 COUPLAGE;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur minimum
35437;6775;ELE DISTR;POSTE ETANG;HI20 COUPLAGE;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur moyenne
14650;4513;ELE DISTR;POSTE ETANG;DE04 COUPLAGE;MESURE;TENSION L2_3;kV;1 JOUR ;Valeur minimum
21842;4311;ELE DISTR;POSTE ETANG;GH17 COUPLAGE;MESURE;TENSION L2_3;kV;1 MINUTE;Valeur moyenne
21849;4311;ELE DISTR;POSTE ETANG;GH17 COUPLAGE;MESURE;TENSION L2_3;kV;1 JOUR ;Valeur moyenne
14642;4513;ELE DISTR;POSTE ETANG;DE04 COUPLAGE;MESURE;TENSION L2_3;kV;1 MINUTE;Valeur moyenne
14651;4513;ELE DISTR;POSTE ETANG;DE04 COUPLAGE;MESURE;TENSION L2_3;kV;1 JOUR ;Valeur maximum
14649;4513;ELE DISTR;POSTE ETANG;DE04 COUPLAGE;MESURE;TENSION L2_3;kV;1 JOUR ;Valeur moyenne
43143;48309;ELE DISTR;POSTE ETANG;T04 TRANSFO;MESURE;TEMPERATURE SOL;°C;1 MINUTE;Valeur moyenne
28875;31715;ELE DISTR;POSTE ETANG;I25 ROULEMAZ;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur maximum
28874;31715;ELE DISTR;POSTE ETANG;I25 ROULEMAZ;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur minimum
28872;31715;ELE DISTR;POSTE ETANG;I25 ROULEMAZ;MESURE;P APPARENTE;MVA;1 MINUTE;Valeur moyenne
