Nom;Table;nbr
235557439_TempRet;techant931;120
191857383_TempRet;techant303;120
191857383_TempRet;techant819;120
9081114_TempRet;techant457;120
9081114_TempRet;techant976;120
191670265_TempRet;techant4736;120
191670265_TempRet;techant4730;120
190414508_TempRet;techant207;120
190414508_TempRet;techant736;120
1517592_TempRet;techant13539;120
1517592_TempRet;techant13532;120
235555165_TempRet;techant9250;120
235555165_TempRet;techant9242;120
235556807_TempRet;techant380;120
235556807_TempRet;techant903;120
191139171_TempRet;techant20065;120
191139171_TempRet;techant20059;120
235556806_TempRet;techant377;120
235556806_TempRet;techant896;120
190966330_TempRet;techant281;120
190966330_TempRet;techant790;120
1511276_TempRet;techant114;120
1511276_TempRet;techant650;120
9081158_TempRet;techant470;120
9081158_TempRet;techant989;120
191652907_TempRet;techant15803;120
191652907_TempRet;techant15793;120
1510794_TempRet;techant23336;120
1510794_TempRet;techant23329;120
1510621_TempRet;techant7228;120
1510621_TempRet;techant7222;120
190440154_TempRet;techant236;120
190440154_TempRet;techant749;120
190853709_TempRet;techant278;120
190853709_TempRet;techant787;120
190440168_TempRet;techant239;120
190440168_TempRet;techant752;120
190214867_TempRet;techant188;120
190214867_TempRet;techant717;120
235555971_TempRet;techant374;120
235555971_TempRet;techant893;120
1511110_TempRet;techant6651;120
1511110_TempRet;techant6640;120
1511238_TempRet;techant5180;120
1511238_TempRet;techant5174;120
160003657_TempRet;techant17847;120
160003657_TempRet;techant17840;120
190414511_TempRet;techant230;120
190414511_TempRet;techant740;120
235555970_TempRet;techant20129;120
235555970_TempRet;techant20115;120
235555923_TempRet;techant9280;120
235555923_TempRet;techant9273;120
235555929_TempRet;techant9316;120
235555929_TempRet;techant9308;120
190198380_TempRet;techant153;120
190198380_TempRet;techant682;120
191678632.b_TempRet;techant17887;120
191678632.b_TempRet;techant17881;120
190204214_TempRet;techant159;120
190204214_TempRet;techant688;120
235006808_TempRet;techant338;120
235006808_TempRet;techant858;120
1511287_TempRet;techant120;120
1511287_TempRet;techant653;120
1511423_TempRet;techant127;120
1511423_TempRet;techant656;120
235555926_TempRet;techant367;120
235555926_TempRet;techant887;120
1510828_TempRet;techant20169;120
1510828_TempRet;techant20159;120
235555947_TempRet;techant9344;120
235555947_TempRet;techant9338;120
3091272_TempRet;techant10814;120
3091272_TempRet;techant10807;120
190607088_TempRet;techant265;120
190607088_TempRet;techant774;120
1510591_TempRet;techant9377;120
1510591_TempRet;techant9368;120
1510605_TempRet;techant12620;120
1510605_TempRet;techant12614;120
1510594_TempRet;techant13579;120
1510594_TempRet;techant13569;120
1510593_TempRet;techant12490;120
1510593_TempRet;techant12481;120
235004711_TempRet;techant335;120
235004711_TempRet;techant852;120
1511620_TempRet;techant7303;120
1511620_TempRet;techant7293;120
191257930_TempRet;techant9404;120
191257930_TempRet;techant9398;120
1511262_TempRet;techant110;120
1511262_TempRet;techant644;120
191697337_TempRet;techant7332;120
191697337_TempRet;techant7322;120
191780731_TempRet;techant13616;120
191780731_TempRet;techant13606;120
191768177_TempRet;techant1483;120
191768177_TempRet;techant1477;120
1510772_TempRet;techant21276;120
1510772_TempRet;techant21258;120
1510839_TempRet;techant21321;120
1510839_TempRet;techant21311;120
9015340_TempRet;techant15844;120
9015340_TempRet;techant15837;120
1517342_TempRet;techant17926;120
1517342_TempRet;techant17916;120
1511061_TempRet;techant7367;120
1511061_TempRet;techant7357;120
1511062_TempRet;techant7397;120
1511062_TempRet;techant7388;120
1511063_TempRet;techant7431;120
1511063_TempRet;techant7422;120
1511066_TempRet;techant7464;120
1511066_TempRet;techant7456;120
1511067_TempRet;techant7497;120
1511067_TempRet;techant7488;120
191652911_TempRet;techant15885;120
191652911_TempRet;techant15876;120
1517151_TempRet;techant15923;120
1517151_TempRet;techant15916;120
9081167_TempRet;techant5830;120
9081167_TempRet;techant5822;120
3092138_TempRet;techant13650;120
3092138_TempRet;techant13641;120
235002225_TempRet;techant313;120
235002225_TempRet;techant829;120
190994831_TempRet;techant1654;120
190994831_TempRet;techant1616;120
191757478_TempRet;techant21054;120
191757478_TempRet;techant21070;120
191769038_TempRet;techant21358;120
191769038_TempRet;techant21349;120
235002563_TempRet;techant316;120
235002563_TempRet;techant832;120
190206180_TempRet;techant166;120
190206180_TempRet;techant692;120
191858178_TempRet;techant20225;120
191858178_TempRet;techant20219;120
160002218_TempRet;techant18883;120
160002218_TempRet;techant18876;120
1517270_TempRet;techant13689;120
1517270_TempRet;techant13681;120
1510840_TempRet;techant20331;120
1510840_TempRet;techant20311;120
3092153_TempRet;techant13724;120
3092153_TempRet;techant13718;120
1517157_TempRet;techant13761;120
1517157_TempRet;techant13755;120
1517158_TempRet;techant15963;120
1517158_TempRet;techant15953;120
1517136_TempRet;techant13798;120
1517136_TempRet;techant13792;120
191677896_TempRet;techant9439;120
191677896_TempRet;techant9432;120
1511109_TempRet;techant10856;120
1511109_TempRet;techant10848;120
1511108_TempRet;techant16494;120
1511108_TempRet;techant16485;120
3091353_TempRet;techant9479;120
3091353_TempRet;techant9472;120
191769057_TempRet;techant13839;120
191769057_TempRet;techant13833;120
235001379_TempRet;techant10891;120
235001379_TempRet;techant10880;120
3092139_TempRet;techant13880;120
3092139_TempRet;techant13870;120
1517408_TempRet;techant12656;120
1517408_TempRet;techant12650;120
1517454_TempRet;techant18401;120
1517454_TempRet;techant18395;120
160001213_TempRet;techant136;120
160001213_TempRet;techant669;120
160001217_TempRet;techant143;120
160001217_TempRet;techant672;120
3091384_TempRet;techant444;120
3091384_TempRet;techant964;120
3091382_TempRet;techant441;120
3091382_TempRet;techant960;120
160001211_TempRet;techant133;120
160001211_TempRet;techant662;120
3091209_TempRet;techant438;120
3091209_TempRet;techant957;120
235005964_TempRet;techant19430;120
235005964_TempRet;techant19475;120
1517373_TempRet;techant7739;120
1517373_TempRet;techant7729;120
1517430_TempRet;techant18438;120
1517430_TempRet;techant18429;120
191858179_TempRet;techant18927;120
191858179_TempRet;techant18921;120
235557798_TempRet;techant10920;120
235557798_TempRet;techant10914;120
1511887_TempRet;techant21100;120
1511887_TempRet;techant21124;120
1511135_TempRet;techant3658;120
1511135_TempRet;techant3651;120
191857385_TempRet;techant22142;120
191857385_TempRet;techant22158;120
235557417_TempRet;techant5862;120
235557417_TempRet;techant5852;120
235005988_TempRet;techant5886;120
235005988_TempRet;techant5880;120
235005374_TempRet;techant21401;120
235005374_TempRet;techant21391;120
1517366_TempRet;techant9520;120
1517366_TempRet;techant9514;120
190508008_TempRet;techant255;120
190508008_TempRet;techant768;120
190619749_TempRet;techant5915;120
190619749_TempRet;techant5905;120
1511261_TempRet;techant13917;120
1511261_TempRet;techant13911;120
190614214_TempRet;techant18464;120
190614214_TempRet;techant18457;120
190207496_TempRet;techant6565;120
190207496_TempRet;techant6559;120
235004466_TempRet;techant325;120
235004466_TempRet;techant845;120
1511432_TempRet;techant130;120
1511432_TempRet;techant659;120
9081156_TempRet;techant9560;120
9081156_TempRet;techant9550;120
1510739_TempRet;techant6831;120
1510739_TempRet;techant6825;120
1510741_TempRet;techant6896;120
1510741_TempRet;techant6890;120
1510743_TempRet;techant6927;120
1510743_TempRet;techant6918;120
1510744_TempRet;techant21447;120
1510744_TempRet;techant21430;120
191876560_TempRet;techant310;120
191876560_TempRet;techant822;120
191858180_TempRet;techant20427;120
191858180_TempRet;techant20420;120
3091168_TempRet;techant9584;120
3091168_TempRet;techant9577;120
190607088.b_TempRet;techant1733;120
190607088.b_TempRet;techant1727;120
502172326_TempRet;techant9615;120
502172326_TempRet;techant9609;120
1511305_TempRet;techant17963;120
1511305_TempRet;techant17953;120
190051816_TempRet;techant5974;120
190051816_TempRet;techant5966;120
9015353_TempRet;techant6007;120
9015353_TempRet;techant5998;120
3091338_TempRet;techant16529;120
3091338_TempRet;techant16523;120
3091339_TempRet;techant21487;120
3091339_TempRet;techant21478;120
3091330_TempRet;techant23376;120
3091330_TempRet;techant23367;120
1510482_TempRet;techant9644;120
1510482_TempRet;techant9638;120
1510640_TempRet;techant9675;120
1510640_TempRet;techant9669;120
235003643_TempRet;techant20480;120
235003643_TempRet;techant20474;120
1510646_TempRet;techant9712;120
1510646_TempRet;techant9706;120
3091364_TempRet;techant13958;120
3091364_TempRet;techant13948;120
1517649_TempRet;techant13993;120
1517649_TempRet;techant13983;120
1517650_TempRet;techant14024;120
1517650_TempRet;techant14016;120
1517651_TempRet;techant14061;120
1517651_TempRet;techant14052;120
1517652_TempRet;techant14102;120
1517652_TempRet;techant14092;120
1511098_TempRet;techant9748;120
1511098_TempRet;techant9742;120
3091347_TempRet;techant20517;120
3091347_TempRet;techant20509;120
3091345_TempRet;techant20598;120
3091345_TempRet;techant20588;120
1511260_TempRet;techant18968;120
1511260_TempRet;techant18958;120
3091245_TempRet;techant7545;120
3091245_TempRet;techant7535;120
3091386_TempRet;techant10953;120
3091386_TempRet;techant10944;120
1511288_TempRet;techant9786;120
1511288_TempRet;techant9775;120
1511810_TempRet;techant10990;120
1511810_TempRet;techant10984;120
235002243_TempRet;techant20669;120
235002243_TempRet;techant20639;120
160003652_TempRet;techant20714;120
160003652_TempRet;techant20704;120
235001878_TempRet;techant20751;120
235001878_TempRet;techant20745;120
235002858_TempRet;techant20801;120
235002858_TempRet;techant20795;120
191966656_TempRet;techant11019;120
191966656_TempRet;techant11013;120
191955715_TempRet;techant9825;120
